sample,in_db,out_db,gain_db
1222,-10.000000,0.002193,10.003185
1223,-10.000000,0.002182,10.003173
1224,-10.000000,0.002170,10.003161
1225,-10.000000,0.002159,10.003149
1226,-10.000000,0.002146,10.003138
1227,-10.000000,0.002135,10.003126
1228,-10.000000,0.002122,10.003114
1229,-10.000000,0.002111,10.003103
1230,-10.000000,0.002099,10.003091
1231,-10.000000,0.002088,10.003079
1232,-10.000000,0.002077,10.003068
1233,-10.000000,0.002064,10.003056
1234,-10.000000,0.002053,10.003045
1235,-10.000000,0.002041,10.003033
1236,-10.000000,0.002030,10.003022
1237,-10.000000,0.002019,10.003010
1238,-10.000000,0.002007,10.002999
1239,-10.000000,0.001996,10.002987
1240,-10.000000,0.001984,10.002976
1241,-10.000000,0.001973,10.002965
1242,-10.000000,0.001962,10.002953
1243,-10.000000,0.001950,10.002942
1244,-10.000000,0.001939,10.002931
1245,-10.000000,0.001927,10.002920
1246,-10.000000,0.001917,10.002908
1247,-10.000000,0.001905,10.002897
1248,-10.000000,0.001895,10.002886
1249,-10.000000,0.001883,10.002875
1250,-10.000000,0.001872,10.002864
1251,-10.000000,0.001861,10.002853
1252,-10.000000,0.001850,10.002842
1253,-10.000000,0.001839,10.002831
1254,-10.000000,0.001828,10.002820
1255,-10.000000,0.001817,10.002809
1256,-10.000000,0.001807,10.002798
1257,-10.000000,0.001796,10.002788
1258,-10.000000,0.001785,10.002777
1259,-10.000000,0.001774,10.002766
1260,-10.000000,0.001763,10.002755
1261,-10.000000,0.001753,10.002745
1262,-10.000000,0.001742,10.002734
1263,-10.000000,0.001731,10.002724
1264,-10.000000,0.001721,10.002713
1265,-10.000000,0.001710,10.002703
1266,-10.000000,0.001700,10.002692
1267,-10.000000,0.001689,10.002682
1268,-10.000000,0.001679,10.002671
1269,-10.000000,0.001668,10.002661
1270,-10.000000,0.001658,10.002651
1271,-10.000000,0.001648,10.002640
1272,-10.000000,0.001637,10.002630
1273,-10.000000,0.001628,10.002620
1274,-10.000000,0.001617,10.002610
1275,-10.000000,0.001608,10.002600
1276,-10.000000,0.001597,10.002590
1277,-10.000000,0.001587,10.002580
1278,-10.000000,0.001577,10.002570
1279,-10.000000,0.001568,10.002560
1280,-10.000000,0.001557,10.002550
1281,-10.000000,0.001547,10.002540
1282,-10.000000,0.001538,10.002531
1283,-10.000000,0.001528,10.002521
1284,-10.000000,0.001518,10.002511
1285,-10.000000,0.001509,10.002501
1286,-10.000000,0.001499,10.002492
1287,-10.000000,0.001489,10.002482
1288,-10.000000,0.001480,10.002473
1289,-10.000000,0.001470,10.002463
1290,-10.000000,0.001461,10.002454
1291,-10.000000,0.001451,10.002444
1292,-10.000000,0.001442,10.002435
1293,-10.000000,0.001433,10.002426
1294,-10.000000,0.001424,10.002416
1295,-10.000000,0.001414,10.002407
1296,-10.000000,0.001405,10.002398
1297,-10.000000,0.001395,10.002389
1298,-10.000000,0.001386,10.002380
1299,-10.000000,0.001378,10.002371
1300,-10.000000,0.001369,10.002362
1301,-10.000000,0.001359,10.002353
1302,-10.000000,0.001351,10.002344
1303,-10.000000,0.001341,10.002335
1304,-10.000000,0.001333,10.002326
1305,-10.000000,0.001324,10.002317
1306,-10.000000,0.001315,10.002309
1307,-10.000000,0.001306,10.002300
1308,-10.000000,0.001298,10.002291
1309,-10.000000,0.001290,10.002283
1310,-10.000000,0.001280,10.002274
1311,-10.000000,0.001272,10.002266
1312,-10.000000,0.001263,10.002257
1313,-10.000000,0.001255,10.002249
1314,-10.000000,0.001247,10.002240
1315,-10.000000,0.001238,10.002232
1316,-10.000000,0.001230,10.002224
